YEAR,WEEK,%UNWEIGHTED ILI
1997,40,1.21686
1997,41,1.28064
1997,42,1.23906
1997,43,1.14473
1997,44,1.26112
1997,45,1.28275
1997,46,1.44579
1997,47,1.64796
1997,48,1.67517
1997,49,1.61739
1997,50,1.76632
1997,51,2.10398
1997,52,3.13655
1997,53,3.7185
1998,1,3.59225
1998,2,3.68922
1998,3,4.60396
1998,4,4.91007
1998,5,4.82687
1998,6,3.9459
1998,7,3.1081
1998,8,2.13953
1998,9,1.43954
1998,10,1.47879
1998,11,1.08556
1998,12,0.997967
1998,13,0.744205
1998,14,0.856631
1998,15,0.621737
1998,16,0.670954
1998,17,0.694082
1998,18,0.583457
1998,19,0.57764
1998,20,0.605216
1998,21,X
1998,22,X
1998,23,X
1998,24,X
1998,25,X
1998,26,X
1998,27,X
1998,28,X
1998,29,X
1998,30,X
1998,31,X
1998,32,X
1998,33,X
1998,34,X
1998,35,X
1998,36,X
1998,37,X
1998,38,X
1998,39,X
1998,40,0.697291
1998,41,0.784777
1998,42,0.902906
1998,43,1.13792
1998,44,1.01551
1998,45,1.0009
1998,46,1.13895
1998,47,1.44938
1998,48,1.13908
1998,49,1.16023
1998,50,1.17127
1998,51,1.49061
1998,52,1.84288
1999,1,1.8239
1999,2,2.54354
1999,3,3.61581
1999,4,4.07912
1999,5,5.0776
1999,6,5.04884
1999,7,4.69331
1999,8,4.23423
1999,9,4.02363
1999,10,2.99348
1999,11,2.37759
1999,12,2.01715
1999,13,1.37688
1999,14,0.88283
1999,15,0.613811
1999,16,0.42177
1999,17,0.615513
1999,18,0.302287
1999,19,0.522623
1999,20,0.529526
1999,21,X
1999,22,X
1999,23,X
1999,24,X
1999,25,X
1999,26,X
1999,27,X
1999,28,X
1999,29,X
1999,30,X
1999,31,X
1999,32,X
1999,33,X
1999,34,X
1999,35,X
1999,36,X
1999,37,X
1999,38,X
1999,39,X
1999,40,0.977255
1999,41,1.06706
1999,42,0.942688
1999,43,1.01621
1999,44,1.19439
1999,45,1.24149
1999,46,1.28568
1999,47,1.69132
1999,48,1.73731
1999,49,2.33715
1999,50,2.93022
1999,51,4.41985
1999,52,5.64698
2000,1,5.15025
2000,2,3.90316
2000,3,2.91178
2000,4,2.1567
2000,5,1.81295
2000,6,1.6166
2000,7,1.26702
2000,8,1.14107
2000,9,1.23509
2000,10,1.01933
2000,11,0.926459
2000,12,0.911006
2000,13,0.823722
2000,14,0.725443
2000,15,0.579775
2000,16,0.451177
2000,17,0.438685
2000,18,0.440517
2000,19,0.351667
2000,20,0.36646
2000,21,X
2000,22,X
2000,23,X
2000,24,X
2000,25,X
2000,26,X
2000,27,X
2000,28,X
2000,29,X
2000,30,X
2000,31,X
2000,32,X
2000,33,X
2000,34,X
2000,35,X
2000,36,X
2000,37,X
2000,38,X
2000,39,X
2000,40,1.22865
2000,41,1.05545
2000,42,1.15984
2000,43,1.22688
2000,44,1.24107
2000,45,1.4316
2000,46,1.49427
2000,47,1.84268
2000,48,1.59762
2000,49,1.73473
2000,50,2.04538
2000,51,2.41051
2000,52,3.38334
2001,1,3.2288
2001,2,3.11951
2001,3,3.80424
2001,4,4.18681
2001,5,3.9865
2001,6,3.60607
2001,7,2.81015
2001,8,2.41561
2001,9,1.73272
2001,10,1.64319
2001,11,1.35803
2001,12,1.39027
2001,13,1.2237
2001,14,1.11908
2001,15,0.938967
2001,16,0.944308
2001,17,0.742603
2001,18,0.735456
2001,19,0.725155
2001,20,0.670346
2001,21,X
2001,22,X
2001,23,X
2001,24,X
2001,25,X
2001,26,X
2001,27,X
2001,28,X
2001,29,X
2001,30,X
2001,31,X
2001,32,X
2001,33,X
2001,34,X
2001,35,X
2001,36,X
2001,37,X
2001,38,X
2001,39,X
2001,40,0.997404
2001,41,1.09692
2001,42,1.1679
2001,43,1.26256
2001,44,1.30014
2001,45,1.21838
2001,46,1.33993
2001,47,1.47679
2001,48,1.41042
2001,49,1.26322
2001,50,1.26864
2001,51,1.53452
2001,52,2.12774
2002,1,1.94142
2002,2,1.67397
2002,3,2.06831
2002,4,2.87301
2002,5,2.94909
2002,6,2.92857
2002,7,3.16382
2002,8,3.12121
2002,9,2.73515
2002,10,2.15302
2002,11,1.92136
2002,12,1.62731
2002,13,1.46179
2002,14,1.1937
2002,15,0.895415
2002,16,0.817901
2002,17,0.705896
2002,18,0.611215
2002,19,0.630622
2002,20,0.573579
2002,21,X
2002,22,X
2002,23,X
2002,24,X
2002,25,X
2002,26,X
2002,27,X
2002,28,X
2002,29,X
2002,30,X
2002,31,X
2002,32,X
2002,33,X
2002,34,X
2002,35,X
2002,36,X
2002,37,X
2002,38,X
2002,39,X
2002,40,1.16668
2002,41,1.2165
2002,42,1.13057
2002,43,1.25246
2002,44,1.30237
2002,45,1.40551
2002,46,1.38437
2002,47,1.32563
2002,48,1.43475
2002,49,1.25433
2002,50,1.25757
2002,51,1.58017
2002,52,1.98008
2003,1,1.90428
2003,2,1.5901
2003,3,1.81559
2003,4,2.41801
2003,5,2.86635
2003,6,3.16662
2003,7,3.0155
2003,8,2.9978
2003,9,2.31957
2003,10,1.94707
2003,11,1.72985
2003,12,1.51837
2003,13,1.22616
2003,14,1.05433
2003,15,1.07108
2003,16,0.82612
2003,17,0.820505
2003,18,0.630846
2003,19,0.63935
2003,20,0.586609
2003,21,0.773024
2003,22,0.790743
2003,23,0.711847
2003,24,0.794637
2003,25,0.586604
2003,26,0.615982
2003,27,0.491507
2003,28,0.604341
2003,29,0.524478
2003,30,0.590692
2003,31,0.505135
2003,32,0.634271
2003,33,0.610118
2003,34,0.641227
2003,35,0.661429
2003,36,0.792681
2003,37,0.639059
2003,38,0.636732
2003,39,0.747829
2003,40,0.960873
2003,41,1.04325
2003,42,1.0545
2003,43,1.11231
2003,44,1.41274
2003,45,1.72703
2003,46,2.407
2003,47,3.10962
2003,48,4.30779
2003,49,4.8303
2003,50,6.42905
2003,51,6.86734
2003,52,7.06496
2003,53,4.55115
2004,1,2.41833
2004,2,1.80906
2004,3,1.71202
2004,4,1.5425
2004,5,1.43787
2004,6,1.32427
2004,7,1.30726
2004,8,1.03698
2004,9,1.01032
2004,10,1.05249
2004,11,1.02009
2004,12,0.924419
2004,13,0.790645
2004,14,0.80261
2004,15,0.83613
2004,16,0.792436
2004,17,0.683588
2004,18,0.757452
2004,19,0.788585
2004,20,0.812171
2004,21,0.804463
2004,22,0.877701
2004,23,0.741453
2004,24,0.661022
