week,CDC
2012-01-07,1.76709
2012-01-14,1.5434
2012-01-21,1.64762
2012-01-28,1.6843
2012-02-04,1.86354
2012-02-11,1.86408
2012-02-18,2.01839
2012-02-25,2.10385
2012-03-03,2.09555
2012-03-10,2.10398
2012-03-17,2.2941
2012-03-24,1.92223
2012-03-31,1.74239
2012-04-07,1.67601
2012-04-14,1.49637
2012-04-21,1.38202
2012-04-28,1.28926
2012-05-05,1.35803
2012-05-12,1.30833
2012-05-19,1.26692
2012-05-26,1.27731
2012-06-02,1.2991
2012-06-09,1.16297
2012-06-16,1.08612
2012-06-23,1.0568
2012-06-30,1.07871
2012-07-07,1.04662
2012-07-14,0.928152
2012-07-21,0.901936
2012-07-28,0.915356
2012-08-04,0.952548
2012-08-11,0.916661
2012-08-18,0.901787
2012-08-25,1.03315
2012-09-01,1.05238
2012-09-08,1.12713
2012-09-15,1.1866
2012-09-22,1.21415
2012-09-29,1.25198
2012-10-06,1.20559
2012-10-13,1.31929
2012-10-20,1.32737
2012-10-27,1.36688
2012-11-03,1.50535
2012-11-10,1.61273
2012-11-17,1.75208
2012-11-24,2.33365
2012-12-01,2.22697
2012-12-08,2.97657
2012-12-15,3.62552
2012-12-22,4.5532
2012-12-29,6.02598
2013-01-05,4.96368
2013-01-12,4.69072
2013-01-19,4.70473
2013-01-26,4.1646
2013-02-02,3.69533
2013-02-09,3.2363
2013-02-16,2.89421
2013-02-23,2.71742
2013-03-02,2.52297
2013-03-09,2.55227
2013-03-16,2.43225
2013-03-23,2.10851
2013-03-30,1.94725
2013-04-06,1.74859
2013-04-13,1.49713
2013-04-20,1.32313
2013-04-27,1.22647
2013-05-04,1.19614
2013-05-11,1.19049
2013-05-18,1.17426
2013-05-25,1.13342
2013-06-01,1.14306
2013-06-08,1.00881
2013-06-15,1.02358
2013-06-22,1.00138
2013-06-29,0.909498
2013-07-06,0.950042
2013-07-13,0.829299
2013-07-20,0.802109
2013-07-27,0.806333
2013-08-03,0.796937
2013-08-10,0.779136
2013-08-17,0.797653
2013-08-24,0.825485
2013-08-31,0.935469
2013-09-07,1.04345
2013-09-14,1.09107
2013-09-21,1.20108
2013-09-28,1.26179
2013-10-05,1.13249
2013-10-12,1.21121
2013-10-19,1.25682
2013-10-26,1.37097
2013-11-02,1.42956
2013-11-09,1.53588
2013-11-16,1.60267
2013-11-23,1.73267
2013-11-30,2.09839
2013-12-07,2.21374
2013-12-14,2.41674
2013-12-21,3.03071
2013-12-28,4.38724
2014-01-04,4.2112
2014-01-11,3.46492
2014-01-18,3.31698
2014-01-25,3.2407
