label	removal
1	5.24432781707419
2	2.84235955125094
3	1.52514105164100
4	1.45281929549944
5	1.53761180220626
6	3.72203628385632
7	2.19211089320802
8	1.92546864014682
9	2.97974845109017
10	2.62475382434614
11	3.07944075907309
12	3.2219546374879
13	2.67355192788124
14	3.43656022883937
15	4.15751209674822
16	4.46305037530493
17	6.26693918124452
18	5.50541966773709
19	Inf
20	Inf
21	Inf
22	Inf
23	Inf
24	Inf
25	Inf
26	Inf
27	Inf
28	Inf
29	Inf
30	Inf
31	Inf
32	Inf
33	Inf
34	Inf
35	Inf
36	Inf
37	Inf
38	Inf
39	Inf
40	Inf
41	Inf
42	Inf
43	Inf
44	Inf
45	Inf
46	Inf
47	Inf
48	Inf
49	Inf
50	Inf
51	Inf
